Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-557 E15084,A-688540,2025-11-09 07:44:01,2025-11-19,240873.96,240873.96,A1013165570006885409,10,-9
Destino-557 E15084,A-688542,2025-11-09 07:54:00,2025-11-19,240825.69,240825.69,A1013165570006885421,10,-9
Destino-557 E15084,A-688701,2025-11-10 04:24:37,2025-11-20,240922.24,240922.24,A1013165570006887013,10,-10
Destino-557 E15084,A-688702,2025-11-10 04:24:38,2025-11-20,240922.24,240922.24,A1013165570006887029,10,-10
