Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-216 DISTRIBUIDORA,A-685030,2025-10-30 13:25:12,2025-11-29,329799.09,329799.09,A0040012160006850307,30,-19
Destino-216 DISTRIBUIDORA,A-685035,2025-10-30 13:35:12,2025-11-29,329777.4,329777.4,A0040012160006850355,30,-19
Destino-216 DISTRIBUIDORA,A-685042,2025-10-30 13:55:12,2025-11-29,659684.96,659684.96,A0040012160006850420,30,-19
Destino-216 DISTRIBUIDORA,A-684780,2025-10-29 21:55:11,2025-11-28,720237.43,706861.14,A0040012160006847804,30,-18
Destino-216 DISTRIBUIDORA,A-684791,2025-10-29 22:55:12,2025-11-28,720305.63,720305.63,A0040012160006847912,30,-18
Destino-216 DISTRIBUIDORA,A-685813,2025-11-01 15:04:01,2025-12-01,736883.5,736883.5,A0040012160006858136,30,-21
Destino-216 DISTRIBUIDORA,A-685837,2025-11-01 15:34:02,2025-12-01,725805.35,725805.35,A0040012160006858370,30,-21
Destino-216 DISTRIBUIDORA,A-687338,2025-11-06 04:24:36,2025-12-06,683871.08,683871.08,A0040012160006873384,30,-26
Destino-216 DISTRIBUIDORA,A-687339,2025-11-06 04:24:36,2025-12-06,683871.08,683871.08,A0040012160006873390,30,-26
Destino-216 DISTRIBUIDORA,A-683974,2025-10-27 20:05:12,2025-11-26,720533.09,720533.09,A0040012160006839744,30,-16
Destino-216 DISTRIBUIDORA,A-683979,2025-10-27 20:35:12,2025-11-26,720737.75,720737.75,A0040012160006839792,30,-16
Destino-216 DISTRIBUIDORA,A-683447,2025-10-25 23:25:11,2025-11-24,349452.09,349452.09,A0040012160006834473,30,-14
Destino-216 DISTRIBUIDORA,A-683449,2025-10-25 23:45:11,2025-11-24,349315.61,349315.61,A0040012160006834495,30,-14
Destino-216 DISTRIBUIDORA,A-683451,2025-10-26 00:05:14,2025-11-25,698290.03,698290.03,A0040012160006834511,30,-15
Destino-216 DISTRIBUIDORA,A-683564,2025-10-26 21:25:11,2025-11-25,330493.23,330493.23,A0040012160006835646,30,-15
Destino-216 DISTRIBUIDORA,A-683565,2025-10-26 21:35:11,2025-11-25,330341.36,330341.36,A0040012160006835651,30,-15
Destino-216 DISTRIBUIDORA,A-683566,2025-10-26 21:45:11,2025-11-25,660682.77,660682.77,A0040012160006835667,30,-15
Destino-216 DISTRIBUIDORA,A-683059,2025-10-24 22:25:11,2025-11-23,719966.21,719966.21,A0040012160006830599,30,-13
Destino-216 DISTRIBUIDORA,A-683049,2025-10-24 21:45:13,2025-11-23,719966.21,719966.21,A0040012160006830498,30,-13
Destino-216 DISTRIBUIDORA,A-680332,2025-10-17 10:45:16,2025-11-16,961919.27,961919.27,A0040012160006803322,30,-6
Destino-216 DISTRIBUIDORA,A-678527,2025-10-12 14:44:19,2025-11-11,331079.91,331079.91,A0040012160006785275,30,-1
Destino-216 DISTRIBUIDORA,A-678530,2025-10-12 14:45:13,2025-11-11,331058.22,331058.22,A0040012160006785307,30,-1
Destino-216 DISTRIBUIDORA,A-678531,2025-10-12 14:45:56,2025-11-11,662051.36,662051.36,A0040012160006785313,30,-1
Destino-216 DISTRIBUIDORA,A-679154,2025-10-14 13:05:16,2025-11-13,683806.86,683806.86,A0040012160006791541,30,-3
Destino-216 DISTRIBUIDORA,A-679162,2025-10-14 13:25:14,2025-11-13,673091.88,673091.88,A0040012160006791621,30,-3
Destino-216 DISTRIBUIDORA,A-679260,2025-10-14 17:45:13,2025-11-13,722494.46,722494.46,A0040012160006792606,30,-3
Destino-216 DISTRIBUIDORA,A-679264,2025-10-14 18:05:12,2025-11-13,722494.46,722494.46,A0040012160006792649,30,-3
Destino-216 DISTRIBUIDORA,A-680789,2025-10-18 12:35:12,2025-11-17,348593.68,348593.68,A0040012160006807892,30,-7
Destino-216 DISTRIBUIDORA,A-680793,2025-10-18 12:45:14,2025-11-17,348593.68,348593.68,A0040012160006807930,30,-7
Destino-216 DISTRIBUIDORA,A-680801,2025-10-18 13:05:14,2025-11-17,662461.47,662461.47,A0040012160006808015,30,-7
Destino-216 DISTRIBUIDORA,A-680912,2025-10-19 04:25:15,2025-11-18,349480.28,349480.28,A0040012160006809120,30,-8
Destino-216 DISTRIBUIDORA,A-680913,2025-10-19 04:25:15,2025-11-18,349184.75,349184.75,A0040012160006809135,30,-8
Destino-216 DISTRIBUIDORA,A-680914,2025-10-19 04:25:16,2025-11-18,697983.03,697983.03,A0040012160006809141,30,-8
Destino-216 DISTRIBUIDORA,A-681014,2025-10-19 18:35:11,2025-11-18,719466.07,719466.07,A0040012160006810146,30,-8
Destino-216 DISTRIBUIDORA,A-681015,2025-10-19 18:35:12,2025-11-18,720216.27,720216.27,A0040012160006810151,30,-8
Destino-216 DISTRIBUIDORA,A-681363,2025-10-20 18:45:15,2025-11-19,720216.27,720216.27,A0040012160006813636,30,-9
Destino-216 DISTRIBUIDORA,A-681381,2025-10-20 19:45:11,2025-11-19,720307.2,720307.2,A0040012160006813817,30,-9
Destino-216 DISTRIBUIDORA,A-681885,2025-10-22 04:25:44,2025-11-21,684413.38,684413.38,A0040012160006818852,30,-11
Destino-216 DISTRIBUIDORA,A-681886,2025-10-22 04:25:44,2025-11-21,684391.68,684391.68,A0040012160006818868,30,-11
Destino-216 DISTRIBUIDORA,A-688761,2025-11-10 07:44:04,2025-12-10,960287.16,960287.16,A0040012160006887610,30,-30
