Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-188 E04413,A-680741,2025-10-18 10:45:12,2025-11-17,471456.29,471456.29,A0010011880006807417,30,-7
Destino-188 E04413,A-680854,2025-10-18 16:05:12,2025-11-17,427866.79,427866.79,A0010011880006808542,30,-7
Destino-188 E04413,A-679518,2025-10-15 11:55:27,2025-11-14,428842.91,428842.91,A0010011880006795180,30,-4
Destino-188 E04413,A-679596,2025-10-15 14:25:12,2025-11-14,463189.35,463189.35,A0010011880006795968,30,-4
Destino-188 E04413,A-679945,2025-10-16 11:55:16,2025-11-15,428799.56,428799.56,A0010011880006799453,30,-5
Destino-188 E04413,A-680317,2025-10-17 10:15:12,2025-11-16,462721.67,462721.67,A0010011880006803171,30,-6
Destino-188 E04413,A-680345,2025-10-17 11:25:14,2025-11-16,428777.87,428777.87,A0010011880006803453,30,-6
Destino-188 E04413,A-683779,2025-10-27 11:25:14,2025-11-26,428973.06,428973.06,A0010011880006837792,30,-16
Destino-188 E04413,A-683845,2025-10-27 14:05:11,2025-11-26,465834.47,465834.47,A0010011880006838453,30,-16
Destino-188 E04413,A-685109,2025-10-30 16:45:13,2025-11-29,427172.69,383182.71,A0010011880006851095,30,-19
Destino-188 E04413,A-685338,2025-10-31 11:05:12,2025-11-30,428474.16,428474.16,A0010011880006853387,30,-20
Destino-188 E04413,A-685408,2025-10-31 15:05:12,2025-11-30,466636.68,466636.68,A0010011880006854089,30,-20
Destino-188 E04413,A-687060,2025-11-05 14:34:49,2025-12-05,428560.96,428560.96,A0010011880006870605,30,-25
Destino-188 E04413,A-687114,2025-11-05 14:35:34,2025-12-05,468551.26,468551.26,A0010011880006871140,30,-25
Destino-188 E04413,A-688305,2025-11-08 10:24:02,2025-12-08,429645.53,429645.53,A0010011880006883053,30,-28
