Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-539 E06292,A-686688,2025-11-04 12:34:02,2025-11-24,230491.64,230491.64,A1012095390006866882,20,-14
Destino-539 E06292,A-686690,2025-11-04 12:44:02,2025-11-24,218353.98,218353.98,A1012095390006866909,20,-14
Destino-539 E06292,A-685107,2025-10-30 16:45:11,2025-11-19,217525.25,217525.25,A1012095390006851077,20,-9
Destino-539 E06292,A-685112,2025-10-30 16:45:15,2025-11-19,217547.04,217547.04,A1012095390006851122,20,-9
Destino-539 E06292,A-684245,2025-10-28 13:25:12,2025-11-17,216783.72,216783.72,A1012095390006842453,20,-7
Destino-539 E06292,A-684246,2025-10-28 13:25:12,2025-11-17,216870.97,216870.97,A1012095390006842469,20,-7
Destino-539 E06292,A-684628,2025-10-29 13:25:13,2025-11-18,237946.44,237946.44,A1012095390006846285,20,-8
Destino-539 E06292,A-684636,2025-10-29 13:35:13,2025-11-18,237946.44,237946.44,A1012095390006846365,20,-8
Destino-539 E06292,A-682161,2025-10-22 16:25:19,2025-11-11,216914.57,216914.57,A1012095390006821615,20,-1
Destino-539 E06292,A-682164,2025-10-22 16:25:22,2025-11-11,216980.01,216980.01,A1012095390006821642,20,-1
Destino-539 E06292,A-683002,2025-10-24 17:45:12,2025-11-13,237298.17,237298.17,A1012095390006830022,20,-3
Destino-539 E06292,A-683006,2025-10-24 17:45:15,2025-11-13,216456.59,216456.59,A1012095390006830064,20,-3
Destino-539 E06292,A-687181,2025-11-05 17:04:00,2025-11-25,217394.4,217394.4,A1012095390006871814,20,-15
Destino-539 E06292,A-687184,2025-11-05 17:04:09,2025-11-25,217350.77,217350.77,A1012095390006871841,20,-15
Destino-539 E06292,A-687593,2025-11-06 16:24:05,2025-11-26,243720.44,243720.44,A1012095390006875934,20,-16
Destino-539 E06292,A-687595,2025-11-06 16:34:00,2025-11-26,243964.33,243964.33,A1012095390006875955,20,-16
Destino-539 E06292,A-688547,2025-11-09 08:34:00,2025-11-29,217634.27,217634.27,A1012095390006885476,20,-19
Destino-539 E06292,A-688548,2025-11-09 08:34:01,2025-11-29,217481.61,217481.61,A1012095390006885482,20,-19
