Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-458 E01706,A-688500,2025-11-08 22:34:00,2025-11-23,332982.69,332982.69,A1012724580006885000,15,-13
Destino-458 E01706,A-684033,2025-10-27 23:15:18,2025-11-11,332004.48,332004.48,A1012724580006840335,15,-1
Destino-458 E01706,A-684777,2025-10-29 21:35:11,2025-11-13,332439.25,332439.25,A1012724580006847778,15,-3
Destino-458 E01706,A-684787,2025-10-29 22:45:12,2025-11-13,348719.78,348719.78,A1012724580006847879,15,-3
Destino-458 E01706,A-686195,2025-11-03 10:54:03,2025-11-18,348658.68,348658.68,A1012724580006861951,15,-8
Destino-458 E01706,A-686210,2025-11-03 11:43:59,2025-11-18,332700.11,332700.11,A1012724580006862101,15,-8
Destino-458 E01706,A-685525,2025-10-31 23:12:57,2025-11-15,332460.97,332460.97,A1012724580006855254,15,-5
Destino-458 E01706,A-687285,2025-11-05 23:54:02,2025-11-20,358236.38,358236.38,A1012724580006872851,15,-10
Destino-458 E01706,A-687287,2025-11-06 00:13:59,2025-11-21,333395.69,333395.69,A1012724580006872872,15,-11
