Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-205 E12819,A-685725,2025-11-01 10:44:04,2025-12-01,428908.02,428908.02,A0010012050006857256,30,-21
Destino-205 E12819,A-685771,2025-11-01 12:34:03,2025-12-01,479422.87,479422.87,A0010012050006857719,30,-21
Destino-205 E12819,A-686955,2025-11-05 04:30:02,2025-12-05,368772.47,368772.47,A0010012050006869559,30,-25
Destino-205 E12819,A-686956,2025-11-05 04:30:59,2025-12-05,368749.2,368749.2,A0010012050006869565,30,-25
Destino-205 E12819,A-686706,2025-11-04 13:24:01,2025-12-04,428300.66,428300.66,A0010012050006867065,30,-24
Destino-205 E12819,A-683791,2025-10-27 11:45:17,2025-11-26,467320.95,467320.95,A0010012050006837911,30,-16
Destino-205 E12819,A-683792,2025-10-27 11:45:18,2025-11-26,429124.91,429124.91,A0010012050006837927,30,-16
Destino-205 E12819,A-684620,2025-10-29 12:35:11,2025-11-28,428062.05,349437.48,A0010012050006846207,30,-18
Destino-205 E12819,A-681681,2025-10-21 14:55:11,2025-11-20,470146.89,470146.89,A0010012050006816812,30,-10
Destino-205 E12819,A-681199,2025-10-20 11:22:18,2025-11-19,469525.4,469525.4,A0010012050006811995,30,-9
Destino-205 E12819,A-681204,2025-10-20 12:00:45,2025-11-19,428582.64,428582.64,A0010012050006812043,30,-9
Destino-205 E12819,A-678539,2025-10-12 21:25:11,2025-11-11,673350.66,673350.66,A0010012050006785393,30,-1
Destino-205 E12819,A-679175,2025-10-14 14:05:13,2025-11-13,353916.12,350994.76,A0010012050006791753,30,-3
Destino-205 E12819,A-679936,2025-10-16 11:45:14,2025-11-15,470487.15,470487.15,A0010012050006799369,30,-5
Destino-205 E12819,A-679953,2025-10-16 12:15:15,2025-11-15,428799.56,428799.56,A0010012050006799534,30,-5
Destino-205 E12819,A-682892,2025-10-24 12:05:12,2025-11-23,428387.42,428387.42,A0010012050006828929,30,-13
Destino-205 E12819,A-682905,2025-10-24 12:45:13,2025-11-23,469005.02,469005.02,A0010012050006829051,30,-13
Destino-205 E12819,A-688345,2025-11-08 12:24:04,2025-12-08,428973.06,428973.06,A0010012050006883459,30,-28
Destino-205 E12819,A-688364,2025-11-08 12:54:02,2025-12-08,486485.75,486485.75,A0010012050006883646,30,-28
Destino-205 E12819,A-687178,2025-11-05 16:44:04,2025-12-05,468054.67,468054.67,A0010012050006871789,30,-25
