Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-218 E13510,A-682521,2025-10-23 14:45:14,2025-11-22,214772.57,214772.57,A0010012180006825214,30,-12
Destino-218 E13510,A-682528,2025-10-23 15:05:13,2025-11-22,214881.49,214881.49,A0010012180006825283,30,-12
Destino-218 E13510,A-684040,2025-10-27 23:45:13,2025-11-26,215491.46,215491.46,A0010012180006840407,30,-16
Destino-218 E13510,A-684043,2025-10-27 23:55:13,2025-11-26,215186.47,215186.47,A0010012180006840434,30,-16
Destino-218 E13510,A-683279,2025-10-25 11:51:16,2025-11-24,234319.06,234319.06,A0010012180006832799,30,-14
Destino-218 E13510,A-683282,2025-10-25 11:51:19,2025-11-24,234437.52,234437.52,A0010012180006832821,30,-14
Destino-218 E13510,A-684404,2025-10-28 21:05:12,2025-11-27,236044.47,236044.47,A0010012180006844042,30,-17
Destino-218 E13510,A-684407,2025-10-28 21:15:16,2025-11-27,235925.71,235925.71,A0010012180006844078,30,-17
Destino-218 E13510,A-685420,2025-10-31 15:45:13,2025-11-30,214925.05,214925.05,A0010012180006854207,30,-20
Destino-218 E13510,A-685427,2025-10-31 15:55:14,2025-11-30,234200.64,234200.64,A0010012180006854276,30,-20
Destino-218 E13510,A-685356,2025-10-31 12:05:15,2025-11-30,215033.99,152943.83,A0010012180006853568,30,-20
Destino-218 E13510,A-685358,2025-10-31 12:15:14,2025-11-30,215055.76,215055.76,A0010012180006853589,30,-20
Destino-218 E13510,A-678418,2025-10-11 19:25:12,2025-11-10,215426.09,215426.09,A0010012180006784187,30,0
Destino-218 E13510,A-678420,2025-10-11 19:25:13,2025-11-10,215230.05,215230.05,A0010012180006784203,30,0
Destino-218 E13510,A-680808,2025-10-18 13:25:12,2025-11-17,215338.97,215338.97,A0010012180006808088,30,-7
Destino-218 E13510,A-680812,2025-10-18 13:35:14,2025-11-17,215251.83,215251.83,A0010012180006808127,30,-7
Destino-218 E13510,A-679706,2025-10-15 20:55:11,2025-11-14,215469.68,215469.68,A0010012180006797060,30,-4
Destino-218 E13510,A-679709,2025-10-15 21:05:15,2025-11-14,215360.75,215360.75,A0010012180006797097,30,-4
Destino-218 E13510,A-679308,2025-10-14 20:55:11,2025-11-13,233006.94,233006.94,A0010012180006793085,30,-3
Destino-218 E13510,A-679310,2025-10-14 21:05:12,2025-11-13,232819.14,232819.14,A0010012180006793102,30,-3
Destino-218 E13510,A-679248,2025-10-14 16:55:12,2025-11-13,236271.58,236271.58,A0010012180006792483,30,-3
Destino-218 E13510,A-679251,2025-10-14 17:05:13,2025-11-13,236271.58,236271.58,A0010012180006792515,30,-3
Destino-218 E13510,A-688063,2025-11-07 19:54:01,2025-12-07,215643.95,215643.95,A0010012180006880638,30,-27
Destino-218 E13510,A-688064,2025-11-07 20:04:00,2025-12-07,235598.75,235598.75,A0010012180006880644,30,-27
Destino-218 E13510,A-686389,2025-11-03 19:44:01,2025-12-03,241213.94,241213.94,A0010012180006863894,30,-23
Destino-218 E13510,A-686394,2025-11-03 19:54:03,2025-12-03,215731.09,215731.09,A0010012180006863948,30,-23
Destino-218 E13510,A-687222,2025-11-05 20:23:59,2025-12-05,215970.72,215970.72,A0010012180006872227,30,-25
Destino-218 E13510,A-687223,2025-11-05 20:24:00,2025-12-05,215469.68,215469.68,A0010012180006872232,30,-25
