Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-432 E11770,A-687722,2025-11-07 04:24:16,2025-11-22,230739.33,230739.33,A1011444320006877228,15,-12
Destino-432 E11770,A-687723,2025-11-07 04:24:16,2025-11-22,230600.8,230600.8,A1011444320006877233,15,-12
Destino-432 E11770,A-687221,2025-11-05 20:05:42,2025-11-20,724784.4,724784.4,A1011444320006872219,15,-10
Destino-432 E11770,A-687313,2025-11-06 04:24:17,2025-11-21,230831.68,230831.68,A1011444320006873136,15,-11
Destino-432 E11770,A-687314,2025-11-06 04:24:18,2025-11-21,215246.55,215246.55,A1011444320006873142,15,-11
Destino-432 E11770,A-687315,2025-11-06 04:24:19,2025-11-21,230739.33,230739.33,A1011444320006873157,15,-11
Destino-432 E11770,A-687316,2025-11-06 04:24:20,2025-11-21,230531.53,230531.53,A1011444320006873163,15,-11
Destino-432 E11770,A-686919,2025-11-05 04:24:17,2025-11-20,236994.96,236994.96,A1011444320006869195,15,-10
Destino-432 E11770,A-688675,2025-11-10 04:24:16,2025-11-25,233606.42,233606.42,A1011444320006886759,15,-15
Destino-432 E11770,A-688676,2025-11-10 04:24:17,2025-11-25,233583.04,233583.04,A1011444320006886765,15,-15
Destino-432 E11770,A-688149,2025-11-08 04:24:14,2025-11-23,233606.42,233606.42,A1011444320006881495,15,-13
Destino-432 E11770,A-688150,2025-11-08 04:24:15,2025-11-23,233185.38,233185.38,A1011444320006881505,15,-13
Destino-432 E11770,A-688151,2025-11-08 04:24:15,2025-11-23,217879.56,217879.56,A1011444320006881511,15,-13
Destino-432 E11770,A-688152,2025-11-08 04:24:16,2025-11-23,217726.85,217726.85,A1011444320006881527,15,-13
