Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-186 E12065,A-686020,2025-11-02 14:18:40,2025-12-02,907967.01,907967.01,A0010011860006860205,30,-22
Destino-186 E12065,A-686754,2025-11-04 15:24:03,2025-12-04,468172.9,468172.9,A0010011860006867548,30,-24
Destino-186 E12065,A-684823,2025-10-30 00:14:49,2025-11-29,358416.75,341296.96,A0010011860006848235,30,-19
Destino-186 E12065,A-683254,2025-10-25 10:27:52,2025-11-24,705328.04,705328.04,A0010011860006832548,30,-14
Destino-186 E12065,A-683550,2025-10-26 13:32:40,2025-11-25,673025.36,673025.36,A0010011860006835505,30,-15
Destino-186 E12065,A-678048,2025-10-10 22:05:11,2025-11-09,341989.75,341989.75,A0010011860006780482,30,1
Destino-186 E12065,A-681943,2025-10-22 07:19:31,2025-10-22,342033.2,342033.2,A0010011860006819437,0,19
Destino-186 E12065,A-681944,2025-10-22 07:20:48,2025-10-22,342076.57,342076.57,A0010011860006819443,0,19
Destino-186 E12065,A-680176,2025-10-17 01:07:36,2025-11-16,361211.56,311933.62,A0010011860006801767,30,-6
Destino-186 E12065,A-680180,2025-10-17 01:33:57,2025-11-16,684500.77,684500.77,A0010011860006801804,30,-6
Destino-186 E12065,A-679167,2025-10-14 13:45:13,2025-11-13,1000013.4,1000013.4,A0010011860006791671,30,-3
Destino-186 E12065,A-688582,2025-11-09 11:04:36,2025-12-09,675281.29,675281.29,A0010011860006885828,30,-29
