Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-171 E10547,A-688361,2025-11-08 12:54:00,2025-11-18,215352.88,215352.88,A0090031710006883614,10,-8
Destino-171 E10547,A-688340,2025-11-08 12:24:00,2025-11-18,230573.15,230573.15,A0090031710006883406,10,-8
Destino-171 E10547,A-685827,2025-11-01 15:24:00,2025-11-11,214720.18,214720.18,A0090031710006858279,10,-1
Destino-171 E10547,A-685812,2025-11-01 15:04:00,2025-11-11,226946.46,226946.46,A0090031710006858121,10,-1
Destino-171 E10547,A-685486,2025-10-31 21:44:45,2025-11-10,215025.62,215025.62,A0090031710006854863,10,0
Destino-171 E10547,A-685488,2025-10-31 21:44:46,2025-11-10,215025.62,215025.62,A0090031710006854884,10,0
Destino-171 E10547,A-686297,2025-11-03 15:24:05,2025-11-13,236527.32,236527.32,A0090031710006862973,10,-3
Destino-171 E10547,A-686304,2025-11-03 15:44:01,2025-11-13,227268.89,227268.89,A0090031710006863043,10,-3
Destino-171 E10547,A-686852,2025-11-04 21:04:01,2025-11-14,215767.39,215767.39,A0090031710006868521,10,-4
Destino-171 E10547,A-686855,2025-11-04 21:14:01,2025-11-14,215745.56,215745.56,A0090031710006868557,10,-4
Destino-171 E10547,A-687976,2025-11-07 14:33:59,2025-11-17,214960.16,214960.16,A0090031710006879767,10,-7
Destino-171 E10547,A-687985,2025-11-07 15:04:02,2025-11-17,215221.98,215221.98,A0090031710006879852,10,-7
Destino-171 E10547,A-688811,2025-11-10 09:44:04,2025-11-20,215767.39,215767.39,A0090031710006888112,10,-10
Destino-171 E10547,A-688812,2025-11-10 09:44:05,2025-11-20,215723.76,215723.76,A0090031710006888128,10,-10
