Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-315 E04753,A-688571,2025-11-09 10:28:03,2025-12-09,467220.09,467220.09,A0010013150006885712,30,-29
Destino-315 E04753,A-688572,2025-11-09 10:29:00,2025-12-09,428105.47,428105.47,A0010013150006885728,30,-29
Destino-315 E04753,A-686299,2025-11-03 15:24:07,2025-12-03,429190.0,429190.0,A0010013150006862999,30,-23
Destino-315 E04753,A-685158,2025-10-30 20:12:03,2025-11-29,449681.94,449681.94,,30,-19
Destino-315 E04753,A-685755,2025-11-01 12:22:48,2025-12-01,461279.76,461279.76,A0010013150006857558,30,-21
Destino-315 E04753,A-687836,2025-11-07 08:28:52,2025-12-07,430621.7,430621.7,A0010013150006878360,30,-27
Destino-315 E04753,A-687092,2025-11-05 14:35:14,2025-12-05,468196.56,468196.56,A0010013150006870921,30,-25
Destino-315 E04753,A-684624,2025-10-29 13:15:17,2025-11-28,427367.89,381478.99,A0010013150006846249,30,-18
Destino-315 E04753,A-683938,2025-10-27 17:45:12,2025-11-26,428864.61,428864.61,A0010013150006839386,30,-16
Destino-315 E04753,A-683854,2025-10-27 14:25:14,2025-11-26,469487.27,469487.27,A0010013150006838549,30,-16
Destino-315 E04753,A-680417,2025-10-17 14:15:18,2025-11-16,428691.11,428691.11,A0010013150006804177,30,-6
Destino-315 E04753,A-678454,2025-10-11 22:55:11,2025-11-10,352266.69,352266.69,A0010013150006784549,30,0
Destino-315 E04753,A-678458,2025-10-11 23:25:11,2025-11-10,663350.83,663350.83,A0010013150006784581,30,0
Destino-315 E04753,A-678461,2025-10-12 00:05:12,2025-11-11,345521.3,345521.3,A0010013150006784613,30,-1
Destino-315 E04753,A-681252,2025-10-20 13:55:21,2025-11-19,469572.7,469572.7,A0010013150006812527,30,-9
Destino-315 E04753,A-681259,2025-10-20 14:35:14,2025-11-19,428387.42,428387.42,A0010013150006812596,30,-9
