Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-161 E09806,A-681914,2025-10-22 06:45:11,2025-11-11,743358.86,743358.86,A1012161610006819141,20,-1
Destino-161 E09806,A-683539,2025-10-26 12:25:11,2025-11-15,704911.95,704911.95,A1012161610006835395,20,-5
Destino-161 E09806,A-684488,2025-10-29 04:25:49,2025-11-18,703762.25,703762.25,A1012161610006844883,20,-8
Destino-161 E09806,A-686392,2025-11-03 19:54:01,2025-11-23,702851.24,702851.24,A1012161610006863927,20,-13
Destino-161 E09806,A-687666,2025-11-06 22:34:04,2025-11-26,760319.84,760319.84,A1012161610006876660,20,-16
Destino-161 E09806,A-687678,2025-11-06 23:04:04,2025-11-26,739851.6,739851.6,A1012161610006876782,20,-16
Destino-161 E09806,A-688523,2025-11-09 06:44:00,2025-11-29,739610.19,739610.19,A1012161610006885238,20,-19
