Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-242 E00414,A-688412,2025-11-08 15:14:01,2025-12-08,715605.27,715605.27,A0010012420006884125,30,-28
Destino-242 E00414,A-688612,2025-11-09 17:34:59,2025-12-09,963107.16,963107.16,A0010012420006886129,30,-29
Destino-242 E00414,A-687901,2025-11-07 10:54:00,2025-12-07,515185.57,515185.57,A0010012420006879015,30,-27
Destino-242 E00414,A-687906,2025-11-07 11:13:59,2025-12-07,529726.66,529726.66,A0010012420006879063,30,-27
Destino-242 E00414,A-686703,2025-11-04 13:14:00,2025-12-04,489470.97,489470.97,A0010012420006867037,30,-24
Destino-242 E00414,A-686691,2025-11-04 13:04:00,2025-12-04,489427.58,489427.58,A0010012420006866911,30,-24
Destino-242 E00414,A-685713,2025-11-01 10:24:02,2025-12-01,425806.12,425806.12,A0010012420006857133,30,-21
Destino-242 E00414,A-685007,2025-10-30 11:55:12,2025-11-29,446511.27,446511.27,A0010012420006850076,30,-19
Destino-242 E00414,A-684985,2025-10-30 11:05:12,2025-11-29,426760.52,426760.52,A0010012420006849850,30,-19
Destino-242 E00414,A-683410,2025-10-25 18:25:11,2025-11-24,518026.02,518026.02,A0010012420006834105,30,-14
Destino-242 E00414,A-683435,2025-10-25 20:05:11,2025-11-24,514145.95,514145.95,A0010012420006834355,30,-14
Destino-242 E00414,A-677905,2025-10-10 13:25:12,2025-11-09,492854.83,492854.83,A0010012420006779056,30,1
Destino-242 E00414,A-683552,2025-10-26 14:35:11,2025-11-25,681333.17,681333.17,A0010012420006835528,30,-15
Destino-242 E00414,A-684369,2025-10-28 19:25:11,2025-11-27,926860.4,817625.98,A0010012420006843691,30,-17
Destino-242 E00414,A-682609,2025-10-23 18:25:15,2025-11-22,489991.54,489991.54,A0010012420006826093,30,-12
Destino-242 E00414,A-682613,2025-10-23 18:45:11,2025-11-22,490013.23,490013.23,A0010012420006826131,30,-12
Destino-242 E00414,A-678263,2025-10-11 11:25:12,2025-11-10,137.18,137.18,A0010012420006782631,30,0
Destino-242 E00414,A-678306,2025-10-11 12:45:15,2025-11-10,518524.82,518524.82,A0010012420006783068,30,0
Destino-242 E00414,A-678311,2025-10-11 13:05:13,2025-11-10,491436.02,491436.02,A0010012420006783112,30,0
Destino-242 E00414,A-679398,2025-10-15 09:19:39,2025-11-14,962830.26,955510.69,A0010012420006793986,30,-4
Destino-242 E00414,A-679911,2025-10-16 09:45:12,2025-11-15,427666.68,427666.68,A0010012420006799118,30,-5
Destino-242 E00414,A-681012,2025-10-19 17:25:13,2025-11-18,489666.19,489666.19,A0010012420006810129,30,-8
Destino-242 E00414,A-680889,2025-10-18 19:15:16,2025-11-17,514388.67,514388.67,A0010012420006808893,30,-7
Destino-242 E00414,A-680904,2025-10-18 23:05:13,2025-11-17,490360.31,490360.31,A0010012420006809043,30,-7
Destino-242 E00414,A-677896,2025-10-10 12:55:11,2025-11-09,522518.72,522518.72,A0010012420006778966,30,1
