Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-540 E14226,A-688377,2025-11-08 13:44:00,2025-11-28,685191.88,685191.88,A1013355400006883774,20,-18
Destino-540 E14226,A-688069,2025-11-07 20:14:00,2025-11-27,218437.54,218437.54,A1013355400006880694,20,-17
Destino-540 E14226,A-688073,2025-11-07 20:24:02,2025-11-27,218219.13,218219.13,A1013355400006880731,20,-17
Destino-540 E14226,A-688074,2025-11-07 20:24:03,2025-11-27,218612.25,218612.25,A1013355400006880747,20,-17
Destino-540 E14226,A-688076,2025-11-07 20:43:59,2025-11-27,243800.61,243800.61,A1013355400006880768,20,-17
Destino-540 E14226,A-688794,2025-11-10 08:44:01,2025-11-30,218874.36,218874.36,A1013355400006887947,20,-20
Destino-540 E14226,A-688796,2025-11-10 09:04:00,2025-11-30,218328.32,218328.32,A1013355400006887968,20,-20
Destino-540 E14226,A-686182,2025-11-03 10:24:04,2025-11-23,232229.27,232229.27,A1013355400006861823,20,-13
Destino-540 E14226,A-686187,2025-11-03 10:34:02,2025-11-23,231142.24,231142.24,A1013355400006861870,20,-13
Destino-540 E14226,A-686109,2025-11-03 04:44:00,2025-11-23,217825.97,217825.97,A1013355400006861093,20,-13
Destino-540 E14226,A-686111,2025-11-03 04:53:59,2025-11-23,217825.97,217825.97,A1013355400006861110,20,-13
Destino-540 E14226,A-686498,2025-11-04 04:24:30,2025-11-24,219660.67,219660.67,A1013355400006864988,20,-14
Destino-540 E14226,A-686499,2025-11-04 04:24:30,2025-11-24,219485.92,219485.92,A1013355400006864994,20,-14
Destino-540 E14226,A-685221,2025-10-31 04:25:24,2025-11-20,218743.3,218743.3,A1013355400006852212,20,-10
Destino-540 E14226,A-685222,2025-10-31 04:25:25,2025-11-20,218634.11,218634.11,A1013355400006852228,20,-10
Destino-540 E14226,A-684854,2025-10-30 04:25:32,2025-11-19,218721.48,218721.48,A1013355400006848547,20,-9
Destino-540 E14226,A-684855,2025-10-30 04:25:32,2025-11-19,218808.84,218808.84,A1013355400006848552,20,-9
Destino-540 E14226,A-684856,2025-10-30 04:25:33,2025-11-19,232186.02,232186.02,A1013355400006848568,20,-9
Destino-540 E14226,A-684857,2025-10-30 04:25:34,2025-11-19,232232.19,232232.19,A1013355400006848573,20,-9
Destino-540 E14226,A-685563,2025-11-01 01:04:03,2025-11-21,218808.84,218808.84,A1013355400006855637,20,-11
Destino-540 E14226,A-685564,2025-11-01 01:04:04,2025-11-21,219092.78,219092.78,A1013355400006855643,20,-11
Destino-540 E14226,A-685903,2025-11-01 20:04:01,2025-11-21,217105.19,217105.19,A1013355400006859037,20,-11
Destino-540 E14226,A-685908,2025-11-01 20:24:00,2025-11-21,217148.87,217148.87,A1013355400006859085,20,-11
Destino-540 E14226,A-687726,2025-11-07 04:24:19,2025-11-27,218415.69,218415.69,A1013355400006877264,20,-17
Destino-540 E14226,A-687776,2025-11-07 04:24:58,2025-11-27,244560.2,244560.2,A1013355400006877769,20,-17
Destino-540 E14226,A-687323,2025-11-06 04:24:25,2025-11-26,219464.1,219464.1,A1013355400006873231,20,-16
Destino-540 E14226,A-687324,2025-11-06 04:24:25,2025-11-26,219464.1,219464.1,A1013355400006873247,20,-16
Destino-540 E14226,A-682580,2025-10-23 17:15:16,2025-11-12,216078.64,216078.64,A1013355400006825806,20,-2
Destino-540 E14226,A-682583,2025-10-23 17:25:13,2025-11-12,216275.21,216275.21,A1013355400006825833,20,-2
Destino-540 E14226,A-682992,2025-10-24 17:15:13,2025-11-13,216646.53,216646.53,A1013355400006829927,20,-3
Destino-540 E14226,A-682997,2025-10-24 17:25:11,2025-11-13,216537.33,216537.33,A1013355400006829974,20,-3
Destino-540 E14226,A-682224,2025-10-22 20:15:17,2025-11-11,217039.67,217039.67,A1013355400006822243,20,-1
Destino-540 E14226,A-682225,2025-10-22 20:25:11,2025-11-11,217039.67,217039.67,A1013355400006822258,20,-1
Destino-540 E14226,A-683623,2025-10-27 04:25:29,2025-11-16,238526.58,238526.58,A1013355400006836239,20,-6
Destino-540 E14226,A-683624,2025-10-27 04:25:30,2025-11-16,237999.19,237999.19,A1013355400006836245,20,-6
Destino-540 E14226,A-683379,2025-10-25 15:55:12,2025-11-14,216187.85,216187.85,A1013355400006833798,20,-4
Destino-540 E14226,A-683380,2025-10-25 15:55:13,2025-11-14,216034.97,216034.97,A1013355400006833808,20,-4
Destino-540 E14226,A-680895,2025-10-18 20:35:11,2025-11-07,217301.77,92133.59,A1013355400006808954,20,3
