Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-444 E09761,A-688909,2025-11-10 14:04:00,2025-11-18,239918.67,239918.67,A1011544440006889097,8,-8
Destino-444 E09761,A-688035,2025-11-07 18:05:10,2025-11-15,237983.28,237983.28,A1011544440006880357,8,-5
Destino-444 E09761,A-688039,2025-11-07 18:24:01,2025-11-15,238127.36,238127.36,A1011544440006880390,8,-5
Destino-444 E09761,A-687398,2025-11-06 07:04:03,2025-11-14,228834.48,228834.48,A1011544440006873986,8,-4
Destino-444 E09761,A-688426,2025-11-08 16:04:00,2025-11-16,215264.31,215264.31,A1011544440006884269,8,-6
Destino-444 E09761,A-688417,2025-11-08 15:44:00,2025-11-16,240453.67,240453.67,A1011544440006884173,8,-6
Destino-444 E09761,A-687390,2025-11-06 06:44:02,2025-11-14,239328.09,239328.09,A1011544440006873901,8,-4
Destino-444 E09761,A-687105,2025-11-05 14:35:26,2025-11-13,215417.34,215417.34,A1011544440006871054,8,-3
Destino-444 E09761,A-687115,2025-11-05 14:35:35,2025-11-13,215635.97,215635.97,A1011544440006871156,8,-3
Destino-444 E09761,A-686643,2025-11-04 10:54:03,2025-11-12,324033.34,124033.34,A1011544440006866437,8,-2
