Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-529 E13091,A-688316,2025-11-08 10:44:04,2025-11-15,235194.96,235194.96,A0130065290006883169,7,-5
Destino-529 E13091,A-688317,2025-11-08 10:54:00,2025-11-15,235194.96,235194.96,A0130065290006883174,7,-5
Destino-529 E13091,A-688153,2025-11-08 04:24:17,2025-11-15,241113.94,241113.94,A0130065290006881532,7,-5
Destino-529 E13091,A-688154,2025-11-08 04:24:18,2025-11-15,241065.65,241065.65,A0130065290006881548,7,-5
Destino-529 E13091,A-688155,2025-11-08 04:24:18,2025-11-15,217584.39,217584.39,A0130065290006881553,7,-5
Destino-529 E13091,A-688156,2025-11-08 04:24:19,2025-11-15,216864.21,216864.21,A0130065290006881569,7,-5
Destino-529 E13091,A-688594,2025-11-09 13:13:59,2025-11-16,240293.08,240293.08,A0130065290006885940,7,-6
Destino-529 E13091,A-688595,2025-11-09 13:24:00,2025-11-16,240293.08,240293.08,A0130065290006885955,7,-6
Destino-529 E13091,A-688747,2025-11-10 07:14:02,2025-11-17,241282.95,241282.95,A0130065290006887473,7,-7
Destino-529 E13091,A-688749,2025-11-10 07:24:00,2025-11-17,241765.8,241765.8,A0130065290006887495,7,-7
Destino-529 E13091,A-688677,2025-11-10 04:24:18,2025-11-17,235783.52,235783.52,A0130065290006886770,7,-7
Destino-529 E13091,A-688678,2025-11-10 04:24:19,2025-11-17,235618.73,235618.73,A0130065290006886786,7,-7
Destino-529 E13091,A-688653,2025-11-09 23:54:00,2025-11-16,217409.8,217409.8,A0130065290006886536,7,-6
Destino-529 E13091,A-688655,2025-11-10 00:04:01,2025-11-17,217387.97,217387.97,A0130065290006886557,7,-7
