Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-257 E13855,A-688322,2025-11-08 11:33:59,2025-11-23,235254.17,235254.17,A0090202570006883220,15,-13
Destino-257 E13855,A-688325,2025-11-08 11:44:01,2025-11-23,235325.52,235325.52,A0090202570006883256,15,-13
Destino-257 E13855,A-688760,2025-11-10 07:44:03,2025-11-25,215990.48,215990.48,A0090202570006887608,15,-15
Destino-257 E13855,A-688768,2025-11-10 07:54:00,2025-11-25,215837.27,215837.27,A0090202570006887683,15,-15
Destino-257 E13855,A-687831,2025-11-07 08:14:00,2025-11-22,226514.46,226514.46,A0090202570006878312,15,-12
Destino-257 E13855,A-687880,2025-11-07 10:24:07,2025-11-22,226766.63,226766.63,A0090202570006878801,15,-12
Destino-257 E13855,A-687429,2025-11-06 08:14:00,2025-11-21,215202.5,215202.5,A0090202570006874299,15,-11
Destino-257 E13855,A-687431,2025-11-06 08:24:00,2025-11-21,215158.74,215158.74,A0090202570006874315,15,-11
Destino-257 E13855,A-686583,2025-11-04 07:54:02,2025-11-19,233475.62,233475.62,A0090202570006865833,15,-9
Destino-257 E13855,A-686612,2025-11-04 09:24:02,2025-11-19,233475.62,233475.62,A0090202570006866128,15,-9
Destino-257 E13855,A-686317,2025-11-03 16:04:02,2025-11-18,214392.66,214392.66,A0090202570006863175,15,-8
Destino-257 E13855,A-686312,2025-11-03 15:54:04,2025-11-18,213867.35,213867.35,A0090202570006863128,15,-8
Destino-257 E13855,A-685665,2025-11-01 07:54:01,2025-11-16,232935.53,232935.53,A0090202570006856653,15,-6
Destino-257 E13855,A-685675,2025-11-01 08:14:01,2025-11-16,232841.61,232841.61,A0090202570006856754,15,-6
