Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-208 E04284,A-688300,2025-11-08 10:13:59,2025-12-08,429732.27,429732.27,A0010012080006883003,30,-28
Destino-208 E04284,A-687933,2025-11-07 12:24:00,2025-12-07,428821.24,428821.24,A0010012080006879338,30,-27
Destino-208 E04284,A-688841,2025-11-10 11:04:03,2025-12-10,476387.79,476387.79,A0010012080006888417,30,-30
Destino-208 E04284,A-679105,2025-10-14 10:45:13,2025-11-13,354570.89,350042.62,A0010012080006791052,30,-3
Destino-208 E04284,A-679536,2025-10-15 11:55:41,2025-11-14,463446.58,463446.58,A0010012080006795369,30,-4
Destino-208 E04284,A-680461,2025-10-17 16:05:17,2025-11-16,428669.41,428669.41,A0010012080006804617,30,-6
Destino-208 E04284,A-678769,2025-10-13 14:05:16,2025-11-12,328020.39,328020.39,A0010012080006787696,30,-2
Destino-208 E04284,A-681234,2025-10-20 13:35:41,2025-11-19,427324.53,427324.53,A0010012080006812344,30,-9
Destino-208 E04284,A-680814,2025-10-18 13:45:13,2025-11-17,428734.46,428734.46,A0010012080006808146,30,-7
Destino-208 E04284,A-684251,2025-10-28 13:45:15,2025-11-27,24939.83,24939.83,A0010012080006842516,30,-17
Destino-208 E04284,A-684253,2025-10-28 14:05:12,2025-11-27,286867.0,286867.0,A0010012080006842537,30,-17
Destino-208 E04284,A-684231,2025-10-28 12:45:12,2025-11-27,153862.47,153862.47,A0010012080006842314,30,-17
Destino-208 E04284,A-684372,2025-10-28 19:25:15,2025-11-27,428560.96,370213.89,A0010012080006843721,30,-17
Destino-208 E04284,A-683844,2025-10-27 13:55:15,2025-11-26,428365.7,428365.7,A0010012080006838446,30,-16
Destino-208 E04284,A-683925,2025-10-27 17:05:16,2025-11-26,467084.98,467084.98,A0010012080006839256,30,-16
Destino-208 E04284,A-685151,2025-10-30 19:25:13,2025-11-29,427910.2,427910.2,A0010012080006851514,30,-19
Destino-208 E04284,A-686648,2025-11-04 11:04:02,2025-12-04,468905.98,468905.98,A0010012080006866482,30,-24
