Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-204 E11147,A-687893,2025-11-07 10:34:01,2025-12-07,429515.38,429515.38,A0010012040006878936,30,-27
Destino-204 E11147,A-687925,2025-11-07 11:54:04,2025-12-07,480559.97,480559.97,A0010012040006879256,30,-27
Destino-204 E11147,A-688011,2025-11-07 16:24:00,2025-12-07,480366.45,480366.45,A0010012040006880118,30,-27
Destino-204 E11147,A-687070,2025-11-05 14:34:56,2025-12-05,429059.86,429059.86,A0010012040006870702,30,-25
Destino-204 E11147,A-686336,2025-11-03 17:04:01,2025-12-03,468480.33,468480.33,A0010012040006863368,30,-23
Destino-204 E11147,A-686258,2025-11-03 13:44:00,2025-12-03,479955.15,479955.15,A0010012040006862584,30,-23
Destino-204 E11147,A-686291,2025-11-03 15:24:00,2025-12-03,479568.05,479568.05,A0010012040006862910,30,-23
Destino-204 E11147,A-685347,2025-10-31 11:55:10,2025-11-30,428257.25,428257.25,A0010012040006853478,30,-20
Destino-204 E11147,A-685361,2025-10-31 12:25:21,2025-11-30,466495.13,466495.13,A0010012040006853617,30,-20
Destino-204 E11147,A-685762,2025-11-01 12:24:05,2025-12-01,427866.79,427866.79,A0010012040006857629,30,-21
Destino-204 E11147,A-684693,2025-10-29 16:05:13,2025-11-28,465810.85,465810.85,A0010012040006846937,30,-18
Destino-204 E11147,A-685059,2025-10-30 15:08:37,2025-11-29,908005.93,813692.13,A0010012040006850590,30,-19
Destino-204 E11147,A-681631,2025-10-21 11:55:12,2025-11-20,469927.52,469927.52,A0010012040006816312,30,-10
Destino-204 E11147,A-681639,2025-10-21 12:15:15,2025-11-20,428344.03,428344.03,A0010012040006816397,30,-10
Destino-204 E11147,A-681662,2025-10-21 13:35:12,2025-11-20,469861.2,469861.2,A0010012040006816621,30,-10
Destino-204 E11147,A-682070,2025-10-22 12:45:12,2025-11-21,427476.37,427476.37,A0010012040006820705,30,-11
Destino-204 E11147,A-682073,2025-10-22 13:05:12,2025-11-21,469525.4,469525.4,A0010012040006820732,30,-11
Destino-204 E11147,A-680781,2025-10-18 12:25:14,2025-11-17,468768.49,468768.49,A0010012040006807817,30,-7
Destino-204 E11147,A-678288,2025-10-11 12:05:16,2025-11-10,470036.65,470036.65,A0010012040006782887,30,0
Destino-204 E11147,A-678537,2025-10-12 20:45:11,2025-11-11,673892.95,673892.95,A0010012040006785376,30,-1
Destino-204 E11147,A-679159,2025-10-14 13:25:11,2025-11-13,695321.86,692400.81,A0010012040006791599,30,-3
Destino-204 E11147,A-679520,2025-10-15 11:55:29,2025-11-14,753187.26,753187.26,A0010012040006795202,30,-4
Destino-204 E11147,A-679531,2025-10-15 11:55:38,2025-11-14,686061.91,686061.91,A0010012040006795319,30,-4
Destino-204 E11147,A-679976,2025-10-16 13:05:14,2025-11-15,463095.82,463095.82,A0010012040006799768,30,-5
Destino-204 E11147,A-683303,2025-10-25 12:15:12,2025-11-24,428626.0,428626.0,A0010012040006833030,30,-14
Destino-204 E11147,A-683782,2025-10-27 11:35:11,2025-11-26,429124.91,429124.91,A0010012040006837820,30,-16
