Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-245 E01578,A-688505,2025-11-08 23:33:59,2025-12-08,1015165.59,1015165.59,A0010012450006885052,30,-28
Destino-245 E01578,A-688606,2025-11-09 15:43:59,2025-12-09,716150.33,716150.33,A0010012450006886065,30,-29
Destino-245 E01578,A-688610,2025-11-09 17:29:59,2025-12-09,428062.1,428062.1,A0010012450006886103,30,-29
Destino-245 E01578,A-681665,2025-10-21 13:45:13,2025-11-20,425871.16,425871.16,A0010012450006816657,30,-10
Destino-245 E01578,A-679431,2025-10-15 09:20:05,2025-11-14,428035.43,428035.43,A0010012450006794312,30,-4
Destino-245 E01578,A-679434,2025-10-15 09:20:08,2025-11-14,452223.14,452223.14,A0010012450006794349,30,-4
Destino-245 E01578,A-680474,2025-10-17 16:55:12,2025-11-16,426061.61,426061.61,A0010012450006804743,30,-6
Destino-245 E01578,A-679122,2025-10-14 12:05:12,2025-11-13,427167.81,410968.78,A0010012450006791227,30,-3
Destino-245 E01578,A-682614,2025-10-23 18:45:12,2025-11-22,427519.75,427519.75,A0010012450006826143,30,-12
Destino-245 E01578,A-683040,2025-10-24 20:45:12,2025-11-23,450302.83,450302.83,A0010012450006830407,30,-13
Destino-245 E01578,A-683052,2025-10-24 21:55:12,2025-11-23,447017.45,447017.45,A0010012450006830520,30,-13
Destino-245 E01578,A-683643,2025-10-27 04:25:44,2025-11-26,962412.93,962412.93,A0010012450006836435,30,-16
Destino-245 E01578,A-685376,2025-10-31 13:05:17,2025-11-30,426825.63,348121.02,A0010012450006853766,30,-20
Destino-245 E01578,A-686402,2025-11-03 20:24:01,2025-12-03,961415.12,961415.12,A0010012450006864028,30,-23
Destino-245 E01578,A-686329,2025-11-03 16:44:01,2025-12-03,448081.38,448081.38,A0010012450006863294,30,-23
