Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-368 E13610,A-688208,2025-11-08 06:54:02,2025-11-16,352386.62,352386.62,A1012243680006882086,8,-6
Destino-368 E13610,A-688213,2025-11-08 07:04:03,2025-11-16,351752.85,351752.85,A1012243680006882130,8,-6
Destino-368 E13610,A-688550,2025-11-09 08:43:59,2025-11-17,218951.7,218951.7,A1012243680006885507,8,-7
Destino-368 E13610,A-688555,2025-11-09 09:04:01,2025-11-17,218864.11,218864.11,A1012243680006885555,8,-7
Destino-368 E13610,A-688743,2025-11-10 07:04:06,2025-11-18,351987.59,351987.59,A1012243680006887436,8,-8
Destino-368 E13610,A-688748,2025-11-10 07:14:03,2025-11-18,328756.03,328756.03,A1012243680006887484,8,-8
