Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-329 E13705,A-686201,2025-11-03 11:14:02,2025-11-13,215354.22,215354.22,A1010983290006862014,10,-3
Destino-329 E13705,A-686205,2025-11-03 11:24:02,2025-11-13,215244.61,215244.61,A1010983290006862056,10,-3
Destino-329 E13705,A-686680,2025-11-04 12:13:59,2025-11-14,224982.51,224982.51,A1010983290006866804,10,-4
Destino-329 E13705,A-686684,2025-11-04 12:24:03,2025-11-14,225648.36,225648.36,A1010983290006866847,10,-4
Destino-329 E13705,A-685425,2025-10-31 15:55:13,2025-11-10,215639.22,215639.22,A1010983290006854256,10,0
Destino-329 E13705,A-685434,2025-10-31 16:25:13,2025-11-10,215617.3,215617.3,A1010983290006854342,10,0
Destino-329 E13705,A-687423,2025-11-06 07:54:01,2025-11-16,216538.1,216538.1,A1010983290006874236,10,-6
Destino-329 E13705,A-687443,2025-11-06 08:44:00,2025-11-16,216121.54,216121.54,A1010983290006874438,10,-6
Destino-329 E13705,A-688007,2025-11-07 15:54:02,2025-11-17,214564.97,214564.97,A1010983290006880074,10,-7
Destino-329 E13705,A-688010,2025-11-07 16:14:00,2025-11-17,233070.58,233070.58,A1010983290006880107,10,-7
Destino-329 E13705,A-688854,2025-11-10 11:24:02,2025-11-20,215288.44,215288.44,A1010983290006888548,10,-10
Destino-329 E13705,A-688861,2025-11-10 11:44:01,2025-11-20,215354.22,215354.22,A1010983290006888612,10,-10
