Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-177 E10799,A-688232,2025-11-08 07:44:03,2025-11-16,215883.06,215883.06,A0090081770006882321,8,-6
Destino-177 E10799,A-688235,2025-11-08 07:44:05,2025-11-16,226512.04,226512.04,A0090081770006882357,8,-6
Destino-177 E10799,A-687421,2025-11-06 07:54:00,2025-11-14,215270.69,215270.69,A0090081770006874211,8,-4
Destino-177 E10799,A-687424,2025-11-06 07:54:02,2025-11-14,215030.09,215030.09,A0090081770006874248,8,-4
Destino-177 E10799,A-686644,2025-11-04 10:54:03,2025-11-12,225539.1,225539.1,A0090081770006866449,8,-2
Destino-177 E10799,A-686995,2025-11-05 07:54:00,2025-11-13,216211.12,216211.12,A0090081770006869950,8,-3
Destino-177 E10799,A-687001,2025-11-05 08:14:00,2025-11-13,226387.06,226387.06,A0090081770006870011,8,-3
