Destino,NumeroFactura,FechaFactura,Vencimiento,total,Saldo,ReferenciaBancaria,dias_credito,dias_vencido
Destino-501 E09133,A-688763,2025-11-10 07:44:05,2025-11-18,235921.02,235921.02,A1011955010006887631,8,-8
Destino-501 E09133,A-688770,2025-11-10 07:54:02,2025-11-18,235683.41,235683.41,A1011955010006887705,8,-8
Destino-501 E09133,A-688875,2025-11-10 12:04:04,2025-11-18,235350.77,235350.77,A1011955010006888750,8,-8
Destino-501 E09133,A-688879,2025-11-10 12:24:01,2025-11-18,215344.43,215344.43,A1011955010006888793,8,-8
Destino-501 E09133,A-688894,2025-11-10 13:04:02,2025-11-18,740101.57,740101.57,A1011955010006888948,8,-8
Destino-501 E09133,A-688831,2025-11-10 10:24:03,2025-11-18,235588.37,235588.37,A1011955010006888314,8,-8
Destino-501 E09133,A-688840,2025-11-10 11:04:02,2025-11-18,740956.95,740956.95,A1011955010006888409,8,-8
Destino-501 E09133,A-688848,2025-11-10 11:14:02,2025-11-18,215191.32,215191.32,A1011955010006888484,8,-8
